Name,Country,Industry,mvUsd
ExlService Holdings Inc,United States,Industrials,66557187
Exotic Food PCL,Thailand,Consumer Staples,5950310
Expedia Group Inc,United States,Consumer Discretionary,115429206
Expeditors International of Washington Inc,United States,Industrials,129179730
Experian PLC,United Kingdom,Industrials,644159964
Experience Co Ltd,Australia,Consumer Discretionary,3527820
Exponent Inc,United States,Industrials,51619251
Expro Group Holdings NV,United States,Energy,70725
Exscientia Plc,United Kingdom,Health Care,202961
Extra Space Storage Inc,United States,Real Estate,376346030
Extreme Networks Inc,United States,Telecommunications,5694410
Exxon Mobil Corp,United States,Energy,5118127915
Eyegene Inc,South Korea,Health Care,1498447
Ez Tec Empreendimentos e Participacoes SA,Brazil,Real Estate,7240079
Ezaki Glico Co Ltd,Japan,Consumer Staples,13197630
F&F Co Ltd / New,South Korea,Consumer Discretionary,90227068
F&F Holdings Co Ltd,South Korea,Consumer Discretionary,88761
F&G Annuities & Life Inc,United States,Financials,3628733
F-Secure Oyj,Finland,Technology,8262000
F5 Inc,United States,Technology,12608502
FACC AG,Austria,Industrials,2172897
FAN Communications Inc,Japan,Technology,1391472
FANUC Corp,Japan,Industrials,432857313
FARO Technologies Inc,United States,Industrials,4165397
FCC Co Ltd,Japan,Consumer Discretionary,2752274
FD Technologies PLC,United Kingdom,Technology,9572370
FDK Corp,Japan,Technology,602508
FDM Group Holdings PLC,United Kingdom,Industrials,22828660
FIBI Holdings Ltd,Israel,Financials,1157012
FIBRA Macquarie Mexico,Mexico,Real Estate,32816397
FIDEA Holdings Co Ltd,Japan,Financials,2430353
FIH Mobile Ltd,China,Telecommunications,3584418
FIT Hon Teng Ltd,Hong Kong,Technology,3912229
FLEXium Interconnect Inc,Taiwan,Technology,19347803
FLSmidth & Co A/S,Denmark,Industrials,53875002
FMC Corp,United States,Basic Materials,211430045
FNB Corp/PA,United States,Financials,46598705
FP Corp,Japan,Industrials,18103129
FPT Corp,Vietnam,Telecommunications,17368142
FPT DIGITAL RETAIL JSC,Vietnam,Consumer Discretionary,6890376
FSN E-Commerce Ventures Ltd,India,Consumer Discretionary,34490981
FSP Technology Inc,Taiwan,Industrials,2438198
FTI Consulting Inc,United States,Industrials,44979465
FUCHS PETROLUB SE,Germany,Basic Materials,101849628
FUJIFILM Holdings Corp,Japan,Technology,300786614
FULLCAST Holdings Co Ltd,Japan,Industrials,3039206
Fabege AB,Sweden,Real Estate,54562141
Fabryki Mebli Forte SA,Poland,Consumer Discretionary,1073256
FactSet Research Systems Inc,United States,Financials,31919866
Faes Farma SA,Spain,Health Care,30937381
Fagerhult AB,Sweden,Industrials,4595550
Fagron,Belgium,Health Care,20439895
Fair Isaac Corp,United States,Industrials,99801842
Fairfax Financial Holdings Ltd,Canada,Financials,144171335
Fairvest Ltd,South Africa,Real Estate,4523364
Falabella SA,Chile,Consumer Discretionary,25741903
Falcon Metals Ltd/Australia,Australia,Basic Materials,186886
Family Zone Cyber Safety Ltd,Australia,Technology,5133850
Famous Brands Ltd,South Africa,Consumer Discretionary,11027974
Fancl Corp,Japan,Consumer Discretionary,27738035
Far EasTone Telecommunications Co Ltd,Taiwan,Telecommunications,51045346
Far East Consortium International Ltd,Hong Kong,Real Estate,4339217
Far East Horizon Ltd,China,Consumer Discretionary,20529269
Far East Hospitality Trust,Singapore,Real Estate,7061426
Far East Orchard Ltd,Singapore,Consumer Discretionary,1105049
Far Eastern Department Stores Ltd,Taiwan,Consumer Discretionary,16390139
Far Eastern International Bank,Taiwan,Financials,18550172
Far Eastern New Century Corp,Taiwan,Basic Materials,61847164
Faraday Technology Corp,Taiwan,Technology,24923886
Farfetch Ltd,United States,Consumer Discretionary,15765818
Farglory Land Development Co Ltd,Taiwan,Real Estate,10272505
Farm Fresh Bhd,Malaysia,Consumer Staples,3700807
Farmae' SpA,Italy,Consumer Discretionary,997879
Fast Retailing Co Ltd,Japan,Consumer Discretionary,381237200
Fastenal Co,United States,Basic Materials,261951453
Fastighets AB Balder,Sweden,Real Estate,72463930
Fastly Inc,United States,Technology,5802541
Fate Therapeutics Inc,United States,Health Care,8119847
Fattal Holdings 1998 Ltd,Israel,Consumer Discretionary,324541
Faurecia SE,France,Consumer Discretionary,55203625
Fawry for Banking & Payment Technology Services SAE,Egypt,Industrials,14221405
FedEx Corp,United States,Industrials,378934061
Federal Bank Ltd,India,Financials,24633590
Federal Corp,Taiwan,Consumer Discretionary,5050510
Federal Grid Co Unified Energy System PJSC,Russia,Utilities,0
Federal Realty Investment Trust,United States,Real Estate,726849225
Federal Signal Corp,United States,Industrials,25845731
Federated Hermes Inc,United States,Financials,3485760
Feed One Co Ltd,Japan,Consumer Staples,1079331
Feng Hsin Steel Co Ltd,Taiwan,Basic Materials,8339078
Feng TAY Enterprise Co Ltd,Taiwan,Consumer Discretionary,69982145
Ferguson PLC,United Kingdom,Industrials,608966124
Ferrari NV,Italy,Consumer Discretionary,369251471
Ferrexpo PLC,United Kingdom,Basic Materials,12514834
Ferreycorp SAA,Peru,Industrials,12558258
Ferro SA,Poland,Consumer Discretionary,4592720
Ferroglobe PLC,United States,Basic Materials,1203125
Ferronordic AB,Sweden,Industrials,1159241
Ferrotec Holdings Corp,Japan,Technology,5255263
Ferrovial SA,Spain,Industrials,283709618
Fertiglobe plc,United Arab Emirates,Basic Materials,26114479
Fevertree Drinks PLC,United Kingdom,Consumer Staples,3288376
Fibergate Inc/Japan,Japan,Telecommunications,3667140
Fibra Uno Administracion SA de CV,Mexico,Real Estate,32960466
FibroGen Inc,United States,Health Care,12641478
Fidelity National Financial Inc,United States,Financials,109732348
Fidelity National Information Services Inc,United States,Industrials,380530076
Fielmann AG,Germany,Consumer Discretionary,17050919
Fiera Milano SpA,Italy,Industrials,3172401
Fifth Third Bancorp,United States,Financials,180536434
Figs Inc,United States,Consumer Discretionary,4434464
Fila Holdings Corp,South Korea,Consumer Discretionary,10922065
Fila SpA,Italy,Consumer Staples,4522545
FinVolution Group,China,Financials,4049106
Financial Partners Group Co Ltd,Japan,Industrials,4378782
Fincantieri SpA,Italy,Industrials,3979262
Fine Foods & Pharmaceuticals NTM,Italy,Health Care,5395206
FinecoBank Banca Fineco SpA,Italy,Financials,57358075
Fineos Corp Ltd,Australia,Technology,2295216
Finnair Oyj,Finland,Consumer Discretionary,5964480
Finning International Inc,Canada,Industrials,45368622
Fino Payments Bank Ltd,India,Financials,735436
Finolex Cables Ltd,India,Industrials,5443440
Finolex Industries Ltd,India,Industrials,4973052
Fire Rock Holdings Ltd,China,Consumer Discretionary,276
Firefinch Ltd,Australia,Basic Materials,10097
Firich Enterprises Co Ltd,Taiwan,Technology,153378
First Abu Dhabi Bank PJSC,United Arab Emirates,Financials,195864028
First American Financial Corp,United States,Financials,53163099
First BanCorp/Puerto Rico,United States,Financials,24220623
First Capital Real Estate Investment Trust,Canada,Real Estate,24083515
First Citizens BancShares Inc/NC,United States,Financials,77056201
First Commonwealth Financial Corp,United States,Financials,12823077
First Financial Bancorp,United States,Financials,21747612
First Financial Bankshares Inc,United States,Financials,43668770
First Financial Holding Co Ltd,Taiwan,Financials,132727299
First Hawaiian Inc,United States,Financials,34342021
First Horizon Corp,United States,Financials,132842234
First Industrial Realty Trust Inc,United States,Real Estate,70782942
First International Bank Of Israel Ltd/The,Israel,Financials,83599292
First Interstate BancSystem Inc,United States,Financials,33978606
First Majestic Silver Corp,Canada,Basic Materials,5407016
First Merchants Corp,United States,Financials,19195616
First National Financial Corp,Canada,Financials,3153443
First Quantum Minerals Ltd,Canada,Basic Materials,79846304
First Real Estate Investment Trust,Singapore,Real Estate,4013758
First Republic Bank/CA,United States,Financials,213442920
First Solar Inc,United States,Energy,213049463
First Steamship Co Ltd,Taiwan,Industrials,1636880
First Tractor Co Ltd,China,Industrials,4521638
First Watch Restaurant Group Inc,United States,Consumer Discretionary,1095930
FirstRand Ltd,South Africa,Financials,213943098
FirstService Corp,Canada,Real Estate,56900929
Firstgroup PLC,United Kingdom,Consumer Discretionary,14574271
Firstsource Solutions Ltd,India,Industrials,3244938
Firstwave Cloud Technology Ltd,Australia,Technology,1840738
Fiserv Inc,United States,Industrials,546009551
Fisher & Paykel Healthcare Corp Ltd,New Zealand,Health Care,128413809
Fisker Inc,United States,Consumer Discretionary,7
Fitipower Integrated Technology Inc,Taiwan,Technology,8026099
Fittech Co Ltd,Taiwan,Technology,2393418
Five Below Inc,United States,Consumer Discretionary,55355358
Five-Star Business Finance Ltd,India,Financials,37934503
Five9 Inc,United States,Technology,55363377
Fiverr International Ltd,United States,Technology,8174702
Fixer Inc,Japan,Technology,3335596
Fixstars Corp,Japan,Technology,1625523
Flat Glass Group Co Ltd,China,Industrials,18459219
FleetCor Technologies Inc,United States,Industrials,132095125
Fleetwood Ltd,Australia,Consumer Discretionary,2709916
Fletcher Building Ltd,New Zealand,Industrials,33104579
Fleury SA,Brazil,Health Care,117045
Flex Ltd,United States,Technology,100832256
Flight Centre Travel Group Ltd,Australia,Consumer Discretionary,10105738
Floor & Decor Holdings Inc,United States,Consumer Discretionary,9400
Flow Traders,Netherlands,Financials,16983052
Flowers Foods Inc,United States,Consumer Staples,38880420
Flowserve Corp,United States,Industrials,25014938
Fluence Energy Inc,United States,Energy,3183777
Flughafen Wien AG,Austria,Industrials,9656520
Flughafen Zurich AG,Switzerland,Industrials,105782483
Fluidra SA,Spain,Industrials,39852427
Flushing Financial Corp,United States,Financials,19
Flutter Entertainment PLC,United Kingdom,Consumer Discretionary,591113789
Flytech Technology Co Ltd,Taiwan,Technology,6037989
Flywire Corp,United States,Industrials,24
Fnac Darty SA,France,Consumer Discretionary,14480245
FocalTech Systems Co Ltd,Taiwan,Technology,5268782
Focus Financial Partners Inc,United States,Financials,4626921
Focus Media Information Technology Co Ltd,China,Consumer Discretionary,36037137
Fomento Economico Mexicano SAB de CV,Mexico,Consumer Staples,173700848
Fomento de Construcciones y Contratas SA,Spain,Industrials,13586275
Food & Life Cos Ltd,Japan,Consumer Discretionary,43399292
Foodnamoo Inc,South Korea,Consumer Staples,1427419
Foosung Co Ltd,South Korea,Basic Materials,4003399
Foot Locker Inc,United States,Consumer Discretionary,10216111
ForFarmers NV,Netherlands,Consumer Staples,1140940
Forbo Holding AG,Switzerland,Consumer Discretionary,26246295
Ford Motor Co,United States,Consumer Discretionary,408326509
Ford Otomotiv Sanayi AS,Turkey,Consumer Discretionary,46475304
Foresight Group Holdings Ltd,United Kingdom,Financials,2445410
Forest Water Environment Engineering Co Ltd,Taiwan,Utilities,1308
FormFactor Inc,United States,Technology,18309295
Formosa International Hotels Corp,Taiwan,Consumer Discretionary,33050189
Formosa Petrochemical Corp,Taiwan,Energy,55755630
Formosa Prosonic Industries BHD,Malaysia,Consumer Discretionary,1897671
Formosa Sumco Technology Corp,Taiwan,Technology,4349628
Formosan Rubber Group Inc,Taiwan,Industrials,3378311
Formula Systems 1985 Ltd,Israel,Technology,7323291
Formycon AG,Germany,Health Care,3498819
Forrester Research Inc,United States,Industrials,2975232
Fortescue Metals Group Ltd,Australia,Basic Materials,218168287
Forth Corp PCL,Thailand,Telecommunications,17241063
Forth Smart Service PCL,Thailand,Industrials,12566354
Fortinet Inc,United States,Technology,305462960
Fortis Healthcare Ltd,India,Health Care,12554458
Fortis Inc/Canada,Canada,Utilities,99509940
Fortive Corp,United States,Industrials,188397576
Fortress REIT Ltd,South Africa,Real Estate,8897662
Fortum Oyj,Finland,Utilities,126470309
Fortune Brands Innovations Inc,United States,Industrials,79197749
Fortune Real Estate Investment Trust,Hong Kong,Real Estate,15087633
Forus SA,Chile,Consumer Discretionary,8328397
Forward Air Corp,United States,Industrials,33348307
Foschini Group Ltd/The,South Africa,Consumer Discretionary,54603384
Foshan Haitian Flavouring & Food Co Ltd,China,Consumer Staples,64390529
Fossal SAA,Peru,Basic Materials,5576
Fossil Group Inc,United States,Consumer Discretionary,1851145
Foster Electric Co Ltd,Japan,Consumer Discretionary,82750
Fosun International Ltd,China,Industrials,203426
FoundPac Group Bhd,Malaysia,Industrials,1268094
Four Corners Property Trust Inc,United States,Real Estate,22201473
Fourlis Holdings SA,Greece,Consumer Discretionary,2438975
Fox Corp,United States,Consumer Discretionary,157737520
Fox Factory Holding Corp,United States,Consumer Discretionary,34350193
Fox Wizel Ltd,Israel,Consumer Discretionary,792931
Foxconn Industrial Internet Co Ltd,China,Telecommunications,3963895
Foxconn Technology Co Ltd,Taiwan,Technology,27471928
Foxsemicon Integrated Technology Inc,Taiwan,Technology,8194547
France Bed Holdings Co Ltd,Japan,Health Care,1339339
Franchi Umberto Marmi SpA,Italy,Industrials,1651623
Franco-Nevada Corp,Canada,Basic Materials,212661773
Franklin Covey Co,United States,Industrials,3082143
Franklin Electric Co Inc,United States,Industrials,36996583
Franklin Resources Inc,United States,Financials,33620360
Franklin Street Properties Corp,United States,Real Estate,2818455
Fraport AG Frankfurt Airport Services Worldwide,Germany,Industrials,48191431
Fraser & Neave Holdings Bhd,Malaysia,Consumer Staples,10795257
Fraser and Neave Ltd,Singapore,Industrials,277351
Frasers Centrepoint Trust,Singapore,Real Estate,27382550
Frasers Group PLC,United Kingdom,Consumer Discretionary,49325947
Frasers Hospitality Trust,Singapore,Real Estate,1357363
Frasers Logistics & Commercial Trust,Singapore,Real Estate,40570630
Frasers Property Ltd,Singapore,Real Estate,2603265
Freee KK,Japan,Technology,3412986
Freenet AG,Germany,Telecommunications,84337134
Freightways Ltd,New Zealand,Industrials,10629116
Fresenius Medical Care AG & Co KGaA,Germany,Health Care,116606618
Fresenius SE & Co KGaA,Germany,Health Care,237958198
Fresh Del Monte Produce Inc,United States,Consumer Staples,7325212
Fresh Market Inc/The,United States,Consumer Staples,4
Freshpet Inc,United States,Consumer Staples,12828493
Freshworks Inc,United States,Technology,2130685
Fresnillo PLC,United Kingdom,Basic Materials,49733082
Frontage Holdings Corp,Hong Kong,Health Care,2337850
Frontdoor Inc,United States,Consumer Discretionary,3511893
Frontier Communications Parent Inc,United States,Telecommunications,54468290
Frontier Group Holdings Inc,United States,Consumer Discretionary,859599
Frontier Real Estate Investment Corp,Japan,Real Estate,24163281
Frontken Corp Bhd,Malaysia,Industrials,24515157
Fu Shou Yuan International Group Ltd,China,Consumer Discretionary,17699101
Fubon Financial Holding Co Ltd,Taiwan,Financials,221271163
Fudo Tetra Corp,Japan,Industrials,1350358
FuelCell Energy Inc,United States,Energy,9584247
Fugro NV,Netherlands,Industrials,37806525
Fuji Co Ltd/Ehime,Japan,Consumer Staples,1080428
Fuji Corp/Aichi,Japan,Industrials,10930987
Fuji Electric Co Ltd,Japan,Industrials,110907227
Fuji Kyuko Co Ltd,Japan,Consumer Discretionary,9092995
Fuji Media Holdings Inc,Japan,Consumer Discretionary,1748420
Fuji Oil Holdings Inc,Japan,Consumer Staples,10822152
Fuji Pharma Co Ltd,Japan,Health Care,1351388
Fuji Seal International Inc,Japan,Industrials,4833578
Fuji Soft Inc,Japan,Technology,15286734
Fujian Sunner Development Co Ltd,China,Consumer Staples,5214312
Fujibo Holdings Inc,Japan,Basic Materials,2277221
Fujicco Co Ltd,Japan,Consumer Staples,2327985
Fujikura Kasei Co Ltd,Japan,Industrials,423822
Fujikura Ltd,Japan,Industrials,22826173
Fujimi Inc,Japan,Basic Materials,15139832
Fujimori Kogyo Co Ltd,Japan,Industrials,3383533
Fujio Food Group Inc,Japan,Consumer Discretionary,1007
Fujita Kanko Inc,Japan,Consumer Discretionary,1649554
Fujitec Co Ltd,Japan,Industrials,22355129
Fujitsu General Ltd,Japan,Consumer Discretionary,33948438
Fujitsu Ltd,Japan,Technology,418821428
Fujiya Co Ltd,Japan,Consumer Staples,1785358
Fukuda Corp,Japan,Industrials,2366319
Fukui Bank Ltd/The,Japan,Financials,1754273
Fukui Computer Holdings Inc,Japan,Technology,1286770
Fukuoka Financial Group Inc,Japan,Financials,72202129
Fukuoka REIT Corp,Japan,Real Estate,8732616
Fukushima Galilei Co Ltd,Japan,Industrials,4272354
Fukuyama Transporting Co Ltd,Japan,Industrials,6040498
Fulcrum Therapeutics Inc,United States,Health Care,2596048
Fulgent Genetics Inc,United States,Health Care,2140795
Fulgent Sun International Holding Co Ltd,Taiwan,Consumer Discretionary,1586130
Full Truck Alliance Co Ltd,China,Industrials,65125896
Fulton Financial Corp,United States,Financials,29379121
Funai Soken Holdings Inc,Japan,Industrials,4593666
Funding Circle Holdings PLC,United Kingdom,Financials,866054
Funko Inc,United States,Consumer Discretionary,2067445
Furukawa Battery Co Ltd/The,Japan,Industrials,987854
Furukawa Co Ltd,Japan,Industrials,1656690
Furukawa Electric Co Ltd,Japan,Industrials,18265919
Furuno Electric Co Ltd,Japan,Industrials,1918590
Fusheng Precision Co Ltd,Taiwan,Consumer Discretionary,11122383
Fuso Chemical Co Ltd,Japan,Basic Materials,6439502
Fuso Pharmaceutical Industries Ltd,Japan,Health Care,720791
Futaba Corp,Japan,Industrials,1460859
Futaba Industrial Co Ltd,Japan,Consumer Discretionary,753038
Future Corp,Japan,Technology,16537681
Future PLC,United Kingdom,Consumer Discretionary,54547107
Fuyao Glass Industry Group Co Ltd,China,Industrials,58944676
Fuyo General Lease Co Ltd,Japan,Financials,19535445
G City Ltd,Israel,Real Estate,79271
G-7 Holdings Inc,Japan,Consumer Discretionary,572874
G-III Apparel Group Ltd,United States,Consumer Discretionary,6478661
G-SMATT GLOBAL Co Ltd,South Korea,Technology,343
G-Tekt Corp,Japan,Consumer Discretionary,2296639
G1 Therapeutics Inc,United States,Health Care,1225551
G8 Education Ltd,Australia,Consumer Discretionary,11161846
GA Technologies Co Ltd/Japan,Japan,Real Estate,546966
GAIL India Ltd,India,Energy,70197619
GATX Corp,United States,Industrials,24696721
GC Cell Corp,South Korea,Health Care,5125683
GCC SAB de CV,Mexico,Industrials,97814584
GDI Property Group Partnership,Australia,Real Estate,2343917
GDS Holdings Ltd,China,Technology,8847211
GEA Group AG,Germany,Industrials,137714415
GEK Terna Holding Real Estate Construction SA,Greece,Industrials,18147519
GEM Co Ltd,China,Utilities,8550427
GEN Ilac VE Saglik Urunleri Sanayi VE Ticaret AS,Turkey,Health Care,22014426
GF Securities Co Ltd,China,Financials,48032892
GFL Environmental Inc,Canada,Utilities,223993743
GFL Ltd,India,Basic Materials,183333
GFPT PCL,Thailand,Consumer Staples,3338365
GFT Technologies SE,Germany,Technology,20661910
GHCL Ltd,India,Consumer Discretionary,3886764
GK Software SE,Germany,Technology,15594943
GL Events,France,Consumer Discretionary,4224133
GLOBALFOUNDRIES Inc,United States,Technology,79576561
GLOBERIDE Inc,Japan,Consumer Discretionary,3605036
GLP J-Reit,Japan,Real Estate,83956053
GMM Pfaudler Ltd,India,Industrials,952713
GMO Financial Gate Inc,Japan,Technology,2310054
GMO Financial Holdings Inc,Japan,Financials,1486003
GMO GlobalSign Holdings KK,Japan,Technology,2990856
GMO Payment Gateway Inc,Japan,Industrials,61981938
GMO internet group Inc,Japan,Technology,47203648
GMR Airports Infrastructure Ltd,India,Industrials,22483018
GMR Power and Urban Infra Ltd,India,Industrials,415507
GMexico Transportes SAB de CV,Mexico,Industrials,59626083
GN Store Nord AS,Denmark,Health Care,156127646
GNCO Co Ltd,South Korea,Consumer Discretionary,17258
GNI Group Ltd,Japan,Health Care,1316511
GOLFZON Co Ltd,South Korea,Consumer Discretionary,10409980
GOME Retail Holdings Ltd,China,Consumer Discretionary,11
GPI SpA,Italy,Health Care,11517705
GPS Participacoes e Empreendimentos SA,Brazil,Financials,20111470
GPT Group/The,Australia,Real Estate,88710035
GQG Partners Inc,Australia,Financials,30046961
GRENKE AG,Germany,Financials,10378750
GRUPO DE MODA SOMA SA,Brazil,Consumer Discretionary,36025064
GS Engineering & Construction Corp,South Korea,Industrials,6016936
GS Holdings Corp,South Korea,Industrials,27485821
GS Retail Co Ltd,South Korea,Consumer Staples,7416283
GS Yuasa Corp,Japan,Industrials,12114087
GSK PLC,United Kingdom,Health Care,1635953629
GT Capital Holdings Inc,Philippines,Real Estate,1384210
GTN Ltd,Australia,Consumer Discretionary,1736050
GTPL Hathway Ltd,India,Consumer Discretionary,4794168
GUD Holdings Ltd,Australia,Consumer Discretionary,11232387
GVS SpA,Italy,Industrials,5073870
GWA Group Ltd,Australia,Industrials,14897181
GXO Logistics Inc,United States,Industrials,41706124
Gabungan AQRS Bhd,Malaysia,Industrials,317584
Gadang Holdings BHD,Malaysia,Industrials,1133214
Gadwa for Industrial Development,Egypt,Industrials,290205
Gakken Holdings Co Ltd,Japan,Consumer Discretionary,2009448
Galapagos NV,Netherlands,Health Care,49560757
Galata Wind Enerji AS,Turkey,Utilities,7882255
Galaxy Cosmos Mezz PLC,Greece,Financials,176978
Galaxy Entertainment Group Ltd,Hong Kong,Consumer Discretionary,327379471
Galaxy Surfactants Ltd,India,Basic Materials,1622309
Galenica AG,Switzerland,Consumer Staples,97112943
Gallant Venture Ltd,Singapore,Utilities,2673624
Galliford Try Holdings PLC,United Kingdom,Industrials,3765275
Galp Energia SGPS SA,Portugal,Energy,85832266
Gamania Digital Entertainment Co Ltd,Taiwan,Consumer Discretionary,2676784
GameStop Corp,United States,Consumer Discretionary,19508214
Games Workshop Group PLC,United Kingdom,Consumer Discretionary,103616677
Gaming and Leisure Properties Inc,United States,Real Estate,129106159
Gamivo SA,Poland,Technology,467826
Gamuda Bhd,Malaysia,Industrials,27155253
Ganfeng Lithium Group Co Ltd,China,Basic Materials,70697517
Gannett Co Inc,United States,Consumer Discretionary,33895
Gaona Aero Material Co Ltd,China,Basic Materials,9843643
Gaotu Techedu Inc,China,Consumer Discretionary,45
Gap Inc/The,United States,Consumer Discretionary,5267094
Garmin Ltd,United States,Consumer Discretionary,140979897
Garofalo Health Care SpA,Italy,Health Care,6134724
Gartner Inc,United States,Technology,257497358
Gas Malaysia Bhd,Malaysia,Utilities,7975714
Gates Industrial Corp PLC,United States,Industrials,12416898
Gateway Distriparks Ltd,India,Industrials,2833835
Gav-Yam Lands Corp Ltd,Israel,Real Estate,397026
Gazprom Neft PJSC,Russia,Energy,7886159
Gazprom PJSC,Russia,Energy,74243100
Gaztransport Et Technigaz SA,France,Energy,83262528
Geberit AG,Switzerland,Industrials,398101696
Gecina SA,France,Real Estate,726698612
Gecoss Corp,Japan,Industrials,1590329
Gediz Ambalaj Sanayi VE Ticaret AS,Turkey,Basic Materials,1343890
Geely Automobile Holdings Ltd,China,Consumer Discretionary,92959083
Gelex Group JSC,Vietnam,Industrials,5432842
GemVax & Kael Co Ltd,South Korea,Technology,2512378
Gemdale Properties & Investment Corp Ltd,China,Real Estate,6127640
Gemtek Technology Corp,Taiwan,Telecommunications,6640195
Gen Digital Inc,United States,Technology,51257474
GeneOne Life Science Inc,South Korea,Basic Materials,4663501
GeneReach Biotechnology Corp,Taiwan,Health Care,1259640
Generac Holdings Inc,United States,Industrials,57661571
General Dynamics Corp,United States,Industrials,592875468
General Electric Co,United States,Industrials,613313641
General Insurance Corp of India,India,Financials,905616
General Interface Solution Holding Ltd,Taiwan,Technology,11727416
General Mills Inc,United States,Consumer Staples,370277156
General Motors Co,United States,Consumer Discretionary,481695533
Generalfinance SpA,Italy,Financials,3569142
Genertec Universal Medical Group Co Ltd,China,Health Care,127534
Genesis Energy Ltd,New Zealand,Utilities,8276040
Genesis Minerals Ltd,Australia,Basic Materials,4069031
Genesys Logic Inc,Taiwan,Technology,2805876
Genetec Technology Bhd,Malaysia,Industrials,6029202
Genetic Signatures Ltd,Australia,Health Care,2565735
Genetron Holdings Ltd,China,Health Care,244492
Genexine Inc,South Korea,Health Care,3367907
Genius Electronic Optical Co Ltd,Taiwan,Technology,15716143
Genky DrugStores Co Ltd,Japan,Consumer Staples,2730141
Genmab A/S,Denmark,Health Care,706866502
Genomma Lab Internacional SAB de CV,Mexico,Health Care,36774343
Genpact Ltd,United States,Industrials,81568733
Genscript Biotech Corp,China,Health Care,47212437
Gentera SAB de CV,Mexico,Financials,26485959
Gentex Corp,United States,Consumer Discretionary,57219332
Gentherm Inc,United States,Consumer Discretionary,17802102
Genting Malaysia Bhd,Malaysia,Consumer Discretionary,44094409
Genting Singapore Ltd,Singapore,Consumer Discretionary,72226396
Genuine Parts Co,United States,Consumer Discretionary,233557126
Genuit Group PLC,United Kingdom,Industrials,14707650
Genus PLC,United Kingdom,Health Care,59497598
Genworth Financial Inc,United States,Financials,26169910
Geo Holdings Corp,Japan,Consumer Discretionary,3005358
Georg Fischer AG,Switzerland,Industrials,131518836
George Weston Ltd,Canada,Consumer Staples,93742995
Georgia Capital PLC,United Kingdom,Financials,7919781
Geovis Technology Co Ltd,China,Technology,5680145
Geox SpA,Italy,Consumer Discretionary,242056
Gerresheimer AG,Germany,Health Care,45365056
Gesco AG,Germany,Industrials,245401
Gestamp Automocion SA,Spain,Consumer Discretionary,12321990
Getac Holdings Corp,Taiwan,Technology,10547850
Getinge AB,Sweden,Health Care,113573412
Getlink SE,France,Industrials,266904064
Getnet Adquirencia e Servicos para Meios de Pagamento SA,Brazil,Industrials,4153283
Getty Realty Corp,United States,Real Estate,12016682
Ghabbour Auto,Egypt,Consumer Discretionary,1844813
Giant Manufacturing Co Ltd,Taiwan,Consumer Discretionary,30218489
Giantstep Inc,South Korea,Consumer Discretionary,186230
Gibraltar Industries Inc,United States,Industrials,46
Gibson Energy Inc,Canada,Energy,28802312
Gift Holdings Inc,Japan,Consumer Discretionary,5195915
GigaDevice Semiconductor Inc,China,Technology,8454582
Gigabyte Technology Co Ltd,Taiwan,Technology,33341259
Gigasolar Materials Corp,Taiwan,Energy,877318
Gigastorage Corp,Taiwan,Industrials,96311
Giken Ltd,Japan,Industrials,2816462
Gilat Satellite Networks Ltd,Israel,Telecommunications,5455
Gildan Activewear Inc,Canada,Consumer Discretionary,55296503
Gilead Sciences Inc,United States,Health Care,1089588197
Gillette India Ltd,India,Consumer Staples,2634323
Gimv NV,Belgium,Financials,24023097
Ginkgo Bioworks Holdings Inc,United States,Health Care,13306472
Giordano International Ltd,Hong Kong,Consumer Discretionary,4767297
Gitlab Inc,United States,Technology,77129084
Givaudan SA,Switzerland,Basic Materials,444158181
Glacier Bancorp Inc,United States,Financials,35035864
Glanbia PLC,Ireland,Consumer Staples,73569968
Gland Pharma Ltd,India,Health Care,526895
Glaukos Corp,United States,Health Care,17592600
GlaxoSmithKline Pharmaceuticals Ltd,India,Health Care,4340063
Glenmark Pharmaceuticals Ltd,India,Health Care,6996676
Global Brands Manufacture Ltd,Taiwan,Industrials,6097407
Global Digital Niaga Tbk PT,Indonesia,Consumer Discretionary,8453513
Global Dominion Access SA,Spain,Industrials,18400036
Global Fashion Group SA,Germany,Consumer Discretionary,4185995
Global Health Ltd/India,India,Health Care,45333012
Global Medical REIT Inc,United States,Real Estate,1287384
Global Mixed Mode Technology Inc,Taiwan,Technology,6999657
Global Net Lease Inc,United States,Real Estate,12139817
Global One Real Estate Investment Corp,Japan,Real Estate,4934394
Global Payments Inc,United States,Industrials,254820159
Global Ports Investments PLC,Russia,Industrials,264574
Global Power Synergy PCL,Thailand,Utilities,17541311
Global Unichip Corp,Taiwan,Technology,39677557
Global-e Online Ltd,United States,Technology,12992653
GlobalData PLC,United Kingdom,Consumer Discretionary,7795084
Globaltrans Investment PLC,Russia,Industrials,442898
Globalwafers Co Ltd,Taiwan,Technology,45245970
Globalworth Real Estate Investments Ltd,Romania,Real Estate,1704499
Globant SA,United States,Technology,76777820
Globe Life Inc,United States,Financials,110332544
Globe Telecom Inc,Philippines,Telecommunications,41533620
Globe Union Industrial Corp,Taiwan,Industrials,2259929
Globetronics Technology BHD,Malaysia,Technology,3118438
Globus Medical Inc,United States,Health Care,10997827
Glodon Co Ltd,China,Technology,24225088
Gloria Material Technology Corp,Taiwan,Basic Materials,6857137
